episode,reward,steps,success,epsilon,success_rate,loss
175,0.000,80,0,0.9913,0.006,0.031252
176,0.000,80,0,0.9912,0.006,0.018759
177,0.000,80,0,0.9912,0.006,0.017757
178,0.123,78,1,0.9911,0.011,0.029866
179,0.000,80,0,0.9911,0.011,0.011390
180,0.000,80,0,0.9910,0.011,0.116081
181,0.000,80,0,0.9910,0.011,0.036811
182,0.000,80,0,0.9909,0.011,0.228063
183,0.000,80,0,0.9909,0.011,0.032931
184,0.000,80,0,0.9908,0.011,0.104347
185,0.000,80,0,0.9908,0.011,0.145085
186,0.000,80,0,0.9907,0.011,0.016578
187,0.000,80,0,0.9907,0.011,0.093271
188,0.000,80,0,0.9906,0.011,0.085400
189,0.000,80,0,0.9906,0.011,0.096628
190,0.000,80,0,0.9905,0.011,0.066411
191,0.000,80,0,0.9905,0.010,0.151068
192,0.000,80,0,0.9904,0.010,0.062425
193,0.000,80,0,0.9904,0.010,0.027260
194,0.000,80,0,0.9903,0.010,0.029718
195,0.000,80,0,0.9903,0.010,0.015472
196,0.000,80,0,0.9902,0.010,0.076390
197,0.000,80,0,0.9902,0.010,0.029154
198,0.000,80,0,0.9901,0.010,0.084062
199,0.000,80,0,0.9901,0.010,0.041697
200,0.000,80,0,0.9900,0.010,0.090458
201,0.000,80,0,0.9900,0.010,0.020654
202,0.000,80,0,0.9900,0.010,0.238201
203,0.000,80,0,0.9899,0.010,0.015297
204,0.000,80,0,0.9899,0.010,0.020301
205,0.000,80,0,0.9898,0.010,0.017783
206,0.000,80,0,0.9898,0.010,0.114635
207,0.000,80,0,0.9897,0.010,0.091576
208,0.000,80,0,0.9897,0.010,0.083693
209,0.000,80,0,0.9896,0.010,0.018908
210,0.000,80,0,0.9896,0.010,0.135849
211,0.000,80,0,0.9895,0.010,0.145692
212,0.000,80,0,0.9895,0.010,0.023872
213,0.000,80,0,0.9894,0.010,0.248201
214,0.000,80,0,0.9894,0.010,0.026667
215,0.000,80,0,0.9893,0.010,0.032210
216,0.000,80,0,0.9893,0.010,0.054258
217,0.000,80,0,0.9892,0.010,0.027054
