episode,reward,steps,success,epsilon,success_rate
259,0.743,40,1,0.1543,1.000
260,0.781,34,1,0.1542,1.000
261,0.794,32,1,0.1540,1.000
262,0.762,37,1,0.1539,1.000
263,0.775,35,1,0.1537,1.000
264,0.743,40,1,0.1536,1.000
265,0.814,29,1,0.1534,1.000
266,0.775,35,1,0.1533,1.000
267,0.756,38,1,0.1531,1.000
268,0.743,40,1,0.1530,1.000
269,0.807,30,1,0.1528,1.000
270,0.788,33,1,0.1527,1.000
271,0.788,33,1,0.1525,1.000
272,0.775,35,1,0.1524,1.000
273,0.794,32,1,0.1522,1.000
274,0.814,29,1,0.1520,1.000
275,0.756,38,1,0.1519,1.000
276,0.807,30,1,0.1517,1.000
277,0.814,29,1,0.1516,1.000
278,0.762,37,1,0.1514,1.000
279,0.820,28,1,0.1513,1.000
280,0.775,35,1,0.1511,1.000
281,0.820,28,1,0.1510,1.000
282,0.826,27,1,0.1508,1.000
283,0.794,32,1,0.1507,1.000
284,0.769,36,1,0.1505,1.000
285,0.781,34,1,0.1504,1.000
286,0.794,32,1,0.1502,1.000
287,0.762,37,1,0.1501,1.000
288,0.820,28,1,0.1499,1.000
289,0.781,34,1,0.1498,1.000
290,0.807,30,1,0.1496,1.000
291,0.807,30,1,0.1495,1.000
292,0.775,35,1,0.1493,1.000
293,0.775,35,1,0.1492,1.000
294,0.736,41,1,0.1490,1.000
295,0.820,28,1,0.1489,1.000
296,0.781,34,1,0.1487,1.000
297,0.775,35,1,0.1486,1.000
298,0.769,36,1,0.1484,1.000
299,0.762,37,1,0.1483,1.000
300,0.794,32,1,0.1481,1.000
301,0.788,33,1,0.1480,1.000
302,0.781,34,1,0.1478,1.000
303,0.801,31,1,0.1477,1.000
304,0.749,39,1,0.1475,1.000
305,0.769,36,1,0.1474,1.000
306,0.801,31,1,0.1473,1.000
307,0.826,27,1,0.1471,1.000
308,0.781,34,1,0.1470,1.000
309,0.775,35,1,0.1468,1.000
310,0.814,29,1,0.1467,1.000
311,0.794,32,1,0.1465,1.000
312,0.781,34,1,0.1464,1.000
313,0.743,40,1,0.1462,1.000
